key,title,description,estimatedCost,acceptanceCriteria,priority,link,draftMode,key:manager
user-story-00,Desarrollar autenticación de usuarios,"Como usuario quiero poder iniciar sesión en el sistema para acceder a mis datos personales.",300,La autenticación debe ser segura y eficiente.,MUST,http://www.ejemplo.com/userstory-00,false,manager-01
user-story-01,Crear página de perfil de usuario,"Como usuario quiero tener un perfil donde pueda ver y editar mi información personal.",400,El perfil debe mostrar detalles como nombre dirección y preferencias.,SHOULD,http://www.ejemplo.com/userstory-01,false,manager-01
user-story-02,Implementar función de recuperación de contraseña,"Como usuario quiero poder restablecer mi contraseña si la olvido.",200,El proceso de recuperación debe ser sencillo y seguro.,COULD,http://www.ejemplo.com/userstory-02,false,manager-01
user-story-03,Agregar funcionalidad de búsqueda avanzada,"Como usuario quiero tener la capacidad de realizar búsquedas avanzadas.",500,La búsqueda avanzada debe incluir filtros por categoría precio y otros atributos.,MUST,http://www.ejemplo.com/userstory-03,false,manager-01
user-story-04,Desarrollar sistema de notificaciones,"Como usuario quiero recibir notificaciones sobre eventos importantes en el sistema.",600,Las notificaciones deben ser personalizables y relevantes.,SHOULD,http://www.ejemplo.com/userstory-04,false,manager-01
user-story-05,Crear página de FAQ (Preguntas Frecuentes),"Como usuario quiero tener acceso a una página de preguntas frecuentes para resolver mis dudas.",250,La página de FAQ debe cubrir las preguntas más comunes de los usuarios.,COULD,http://www.ejemplo.com/userstory-05,false,manager-01
user-story-06,Implementar sistema de comentarios,"Como usuario quiero poder dejar comentarios en artículos y productos.",350,El sistema de comentarios debe incluir funciones de moderación y filtrado de spam.,MUST,http://www.ejemplo.com/userstory-06,false,manager-01
user-story-07,Desarrollar función de compartir contenido,"Como usuario quiero poder compartir contenido interesante del sitio en redes sociales.",200,La función de compartir debe ser intuitiva.,SHOULD,http://www.ejemplo.com/userstory-07,false,manager-02
user-story-08,Crear página de contacto,"Como usuario quiero tener un formulario de contacto para comunicarme con el equipo de soporte.",300,El formulario de contacto debe ser fácil de usar y enviar notificaciones al equipo de soporte.,COULD,http://www.ejemplo.com/userstory-08,false,manager-02
user-story-09,Agregar funcionalidad de seguimiento de pedidos,"Como usuario quiero poder rastrear el estado de mis pedidos.",400,El sistema de seguimiento debe proporcionar actualizaciones.,MUST,http://www.ejemplo.com/userstory-09,false,manager-02
user-story-10,Implementar sistema de recomendaciones personalizadas,"Como usuario quiero recibir recomendaciones de productos basadas en mis preferencias.",500,El sistema de recomendaciones debe ser preciso y relevante para mejorar la experiencia del usuario.,SHOULD,http://www.ejemplo.com/userstory-10,false,manager-02
user-story-11,Crear página de términos y condiciones,"Como usuario quiero tener acceso a los términos y condiciones del sitio.",250,La página de términos y condiciones debe ser clara y fácil de entender.,COULD,http://www.ejemplo.com/userstory-11,false,manager-02
user-story-12,Desarrollar función de valoraciones de productos,"Como usuario quiero poder calificar y dejar reseñas sobre los productos que he comprado.",350,El sistema de valoraciones debe mostrar promedios de calificación y comentarios de otros usuarios.,MUST,http://www.ejemplo.com/userstory-12,false,manager-02
user-story-13,Implementar sistema de chat en vivo,"Como usuario quiero tener la opción de chatear en vivo con un representante de servicio al cliente.",400,El chat en vivo debe ser accesible desde cualquier página del sitio y contar con respuestas rápidas.,SHOULD,http://www.ejemplo.com/userstory-13,false,manager-02
user-story-14,Crear página de política de privacidad,"Como usuario quiero tener acceso a la política de privacidad del sitio.",300,La política de privacidad debe cumplir con las regulaciones de protección de datos.,COULD,http://www.ejemplo.com/userstory-14,false,manager-02